Value,Emotion,Time_Mins_Secs
5,anger,0:05:46
6,anger,0:05:46
3,anger,0:05:47
8,anger,0:05:47
3,anger,0:05:47
6,anger,0:05:47
1,anger,0:05:47
3,anger,0:05:48
1,anger,0:05:48
2,anger,0:05:48
6,anger,0:05:48
4,anger,0:05:48
8,anger,0:05:48
9,anger,0:05:48
4,anger,0:05:49
4,anger,0:05:49
6,anger,0:05:49
4,anger,0:05:49
9,anger,0:05:49
4,anger,0:05:50
3,anger,0:05:50
1,anger,0:05:50
5,anger,0:05:50
7,anger,0:05:50
3,anger,0:05:50
7,anger,0:05:50
2,anger,0:05:50
6,anger,0:05:50
2,anger,0:05:50
1,anger,0:05:51
8,anger,0:05:51
5,anger,0:05:51
6,anger,0:05:51
1,anger,0:05:51
2,anger,0:05:51
3,anger,0:05:52
7,anger,0:05:52
4,anger,0:05:52
6,anger,0:05:52
1,anger,0:05:52
8,anger,0:05:52
2,anger,0:05:52
2,anger,0:05:52
5,anger,0:05:53
7,anger,0:05:53
6,anger,0:05:53
6,anger,0:05:53
2,anger,0:05:53
3,anger,0:05:54
3,anger,0:05:54
4,anger,0:05:54
7,anger,0:05:54
5,anger,0:05:54
3,anger,0:05:54
6,anger,0:05:55
4,anger,0:05:55
2,anger,0:05:55
2,anger,0:05:55
8,anger,0:05:55
2,anger,0:05:55
2,anger,0:05:55
4,anger,0:05:55
3,anger,0:05:55
2,anger,0:05:56
6,anger,0:05:56
6,anger,0:05:56
5,anger,0:05:57
7,anger,0:05:57
4,anger,0:05:57
3,anger,0:05:57
7,anger,0:05:57
3,anger,0:05:58
5,anger,0:05:58
6,anger,0:05:58
1,anger,0:05:58
3,anger,0:05:59
3,anger,0:05:59
3,anger,0:05:59
3,anger,0:05:59
1,anger,0:05:59
7,anger,0:05:59
3,anger,0:05:59
1,anger,0:05:59
6,anger,0:05:59
6,anger,0:05:59
5,anger,0:05:59
1,anger,0:05:59
4,anger,0:06:00
8,anger,0:06:00
6,anger,0:06:01
8,anger,0:06:01
2,anger,0:06:01
1,anger,0:06:01
6,anger,0:06:02
2,anger,0:06:03
4,anger,0:06:03
3,anger,0:06:03
4,anger,0:06:03
7,anger,0:06:03
1,anger,0:06:03
6,anger,0:06:04
3,anger,0:06:04
4,anger,0:06:04
3,anger,0:06:04
5,anger,0:06:04
2,anger,0:06:04
1,anger,0:06:04
5,anger,0:06:04
4,anger,0:06:05
3,anger,0:06:05
6,anger,0:06:05
1,anger,0:06:05
3,anger,0:06:05
1,anger,0:06:05
4,anger,0:06:06
4,anger,0:06:06
6,anger,0:06:06
2,anger,0:06:06
6,anger,0:06:06
3,anger,0:06:06
3,anger,0:06:06
1,anger,0:06:06
3,anger,0:06:07
3,anger,0:06:07
2,anger,0:06:07
2,anger,0:06:07
3,anger,0:06:07
6,anger,0:06:07
7,anger,0:06:07
7,anger,0:06:08
4,anger,0:06:08
1,anger,0:06:08
4,anger,0:06:08
3,anger,0:06:08
6,anger,0:06:08
1,anger,0:06:08
3,anger,0:06:08
3,anger,0:06:08
1,anger,0:06:08
5,anger,0:06:09
5,anger,0:06:09
2,anger,0:06:09
2,anger,0:06:09
2,anger,0:06:09
4,anger,0:06:09
3,anger,0:06:10
1,anger,0:06:10
3,anger,0:06:10
3,anger,0:06:11
6,anger,0:06:11
2,anger,0:06:12
6,anger,0:06:12
3,anger,0:06:12
1,anger,0:06:12
8,anger,0:06:12
5,anger,0:06:12
7,anger,0:06:12
1,anger,0:06:12
8,anger,0:06:13
2,anger,0:06:13
2,anger,0:06:13
6,anger,0:06:13
7,anger,0:06:13
4,anger,0:06:14
1,anger,0:06:14
5,anger,0:06:14
6,anger,0:06:14
2,anger,0:06:14
3,anger,0:06:14
1,anger,0:06:14
6,anger,0:06:14
3,anger,0:06:15
8,anger,0:06:15
3,anger,0:06:15
7,anger,0:06:15
5,anger,0:06:16
2,anger,0:06:16
4,anger,0:06:16
1,anger,0:06:16
3,anger,0:06:16
2,anger,0:06:16
2,anger,0:06:16
1,anger,0:06:16
4,anger,0:06:16
2,anger,0:06:17
6,anger,0:06:17
2,anger,0:06:17
6,anger,0:06:17
1,anger,0:06:17
3,anger,0:06:18
3,anger,0:06:18
2,anger,0:06:18
5,anger,0:06:18
1,anger,0:06:18
8,anger,0:06:19
2,anger,0:06:19
3,anger,0:06:19
1,anger,0:06:19
6,anger,0:06:19
8,anger,0:06:19
8,anger,0:06:20
3,anger,0:06:20
3,anger,0:06:20
3,anger,0:06:20
4,anger,0:06:20
4,anger,0:06:20
3,anger,0:06:21
1,anger,0:06:21
6,anger,0:06:21
1,anger,0:06:21
1,anger,0:06:21
2,anger,0:06:21
1,anger,0:06:21
4,anger,0:06:21
6,anger,0:06:22
2,anger,0:06:22
6,anger,0:06:22
3,anger,0:06:22
2,anger,0:06:22
5,anger,0:06:22
3,anger,0:06:23
7,anger,0:06:23
1,anger,0:06:23
6,anger,0:06:23
7,anger,0:06:23
1,anger,0:06:24
7,anger,0:06:24
6,anger,0:06:24
4,anger,0:06:24
6,anger,0:06:24
3,anger,0:06:24
6,anger,0:06:25
1,anger,0:06:25
7,anger,0:06:25
4,anger,0:06:25
4,anger,0:06:25
5,anger,0:06:25
6,anger,0:06:25
3,anger,0:06:25
4,anger,0:06:25
6,anger,0:06:25
7,anger,0:06:25
6,anger,0:06:25
2,anger,0:06:25
7,anger,0:06:26
4,anger,0:06:26
4,anger,0:06:26
6,anger,0:06:26
7,anger,0:06:26
4,anger,0:06:26
7,anger,0:06:26
2,anger,0:06:26
5,anger,0:06:27
2,anger,0:06:27
7,anger,0:06:27
2,anger,0:06:27
1,anger,0:06:28
3,anger,0:06:28
4,anger,0:06:28
6,anger,0:06:28
6,anger,0:06:29
1,anger,0:06:30
7,anger,0:06:30
5,anger,0:06:30
7,anger,0:06:30
6,anger,0:06:30
8,anger,0:06:31
1,anger,0:06:31
6,anger,0:06:31
7,anger,0:06:31
1,anger,0:06:31
7,anger,0:06:31
6,anger,0:06:32
6,anger,0:06:32
4,anger,0:06:32
4,anger,0:06:32
2,anger,0:06:32
5,anger,0:06:32
1,anger,0:06:32
2,anger,0:06:32
3,anger,0:06:33
2,anger,0:06:33
6,anger,0:06:33
2,anger,0:06:33
4,anger,0:06:33
2,anger,0:06:34
1,anger,0:06:34
9,anger,0:06:34
1,anger,0:06:34
1,anger,0:06:34
5,anger,0:06:34
6,anger,0:06:35
2,anger,0:06:35
3,anger,0:06:35
4,anger,0:06:35
1,anger,0:06:35
6,anger,0:06:35
2,anger,0:06:35
8,anger,0:06:35
3,anger,0:06:36
2,anger,0:06:36
3,anger,0:06:36
4,anger,0:06:36
3,anger,0:06:36
3,anger,0:06:36
8,anger,0:06:37
2,anger,0:06:37
4,anger,0:06:37
7,anger,0:06:37
6,anger,0:06:37
6,anger,0:06:37
4,anger,0:06:37
6,anger,0:06:37
3,anger,0:06:37
1,anger,0:06:37
3,anger,0:06:37
2,anger,0:06:37
2,anger,0:06:38
3,anger,0:06:38
3,anger,0:06:38
7,anger,0:06:38
1,anger,0:06:38
8,anger,0:06:39
6,anger,0:06:39
2,anger,0:06:39
2,anger,0:06:39
2,anger,0:06:39
3,anger,0:06:39
4,anger,0:06:39
6,anger,0:06:39
4,anger,0:06:40
7,anger,0:06:40
5,anger,0:06:40
3,anger,0:06:40
6,anger,0:06:40
3,anger,0:06:41
5,anger,0:06:41
7,anger,0:06:41
1,anger,0:06:41
6,anger,0:06:41
5,anger,0:06:41
7,anger,0:06:41
4,anger,0:06:42
6,anger,0:06:42
6,anger,0:06:42
6,anger,0:06:43
2,anger,0:06:43
7,anger,0:06:43
3,anger,0:06:43
5,anger,0:06:43
1,anger,0:06:43
8,anger,0:06:43
7,anger,0:06:43
2,anger,0:06:43
5,anger,0:06:44
6,anger,0:06:44
2,anger,0:06:44
7,anger,0:06:44
1,anger,0:06:44
7,anger,0:06:44
3,anger,0:06:45
7,anger,0:06:45
6,anger,0:06:45
7,anger,0:06:45
6,anger,0:06:46
3,anger,0:06:46
4,anger,0:06:46
1,anger,0:06:46
6,anger,0:06:46
6,anger,0:06:46
1,anger,0:06:47
3,anger,0:06:47
4,anger,0:06:47
1,anger,0:06:47
6,anger,0:06:47
6,anger,0:06:48
6,anger,0:06:48
7,anger,0:06:48
5,anger,0:06:48
2,anger,0:06:48
7,anger,0:06:49
6,anger,0:06:49
8,anger,0:06:50
1,anger,0:06:50
8,anger,0:06:50
1,anger,0:06:50
4,anger,0:06:50
1,anger,0:06:51
8,anger,0:06:51
4,anger,0:06:51
7,anger,0:06:51
